Continent,Country,Population,GDPperCapita,Lat,Lon,LifeExpectancy
Asia,Iraq,38433600,4989.80,33,44,69.9
Africa,Sudan,41801533,3689.50,12.8628,30.2176,55.4
Africa,Algeria,42228429,4177.90,28.0339,1.6596,76.1
Africa,Uganda,42723139,709.00,1,32,61.4
America,Argentina,44494502,13789.10,-38.4161,-63.6167,76.1
Europe,Ukraine,44622516,2124.70,48.3794,31.1656,71.2
Europe,Spain,46723749,25732.00,40,-4,82.8
America,Colombia,49648685,6175.90,4.5709,-74.2973,76.5
Africa,Kenya,51393010,1336.90,-0.0236,37.9062,64.8
Asia,South_Korea,51635256,1119.70,36,128,56.9
Asia,Myanmar,53708395,1133.00,-18.6657,35.5296,65.8
Africa,United_Republic_of_Tanzania,56318348,56803.50,49.3723,-2.3644,78.7
Africa,South_Africa,57779622,1119.70,36,128,56.9
Europe,Italy,60431283,30230.20,43,12,82.5
Europe,United_Kingdom,66488991,56803.50,49.3723,-2.3644,78.7
Europe,France,66987244,36613.40,46.2276,2.2137,82.3
Asia,Thailand,69428524,5840.00,15,101,76.1
Asia,Iran,81800269,3331.70,32,53,70.8
Asia,Turkey,82319724,10948.70,38.9637,35.2433,76.5
Europe,Germany,82927922,41139.50,51,9,80.6
Africa,Democratic_Republic_of_the_Congo,84068091,17715.60,49.8175,15.473,78.6
Asia,Vietnam,95540395,2085.10,16,108,75.1
Africa,Egypt,98423595,6124.50,26,30,76.1
Asia,Philippines,106651922,2867.20,13,122,70.6
Africa,Ethiopia,109224559,640.50,9.145,40.4897,65
America,Mexico,126190788,9606.00,23.6345,-102.5528,74.9
Asia,Japan,126529100,34524.50,36,138,83.8
Europe,Russia,144478050,8977.50,60,90,74.9
Asia,Bangladesh,161356039,1248.50,23.685,90.3563,71.5
Africa,Nigeria,195874740,2730.40,9.082,8.6753,53.1
America,Brazil,209469333,8814.00,-14.235,-51.9253,75
Asia,Pakistan,212215030,1356.70,30.3753,69.3451,66.6
Asia,Indonesia,267663435,3331.70,-0.7893,113.9213,70.8
America,United_States_of_America,327167434,56803.50,49.3723,-2.3644,78.7
Asia,India,1352617328,1605.60,21,78,68.6
Asia,China,1392730000,8033.40,30.9756,112.2707,75.9
